Wavelength,Intensity,Absorbance,Reflectance
1602.4169103921504,6744,1.4105647,0.03885397
1603.4390423047942,3554,1.687168,0.020550955
1605.4818561599589,7086,1.3843211,0.041274223
1606.5025381024798,6243,1.4378618,0.03648701
1607.5227367216266,4978,1.5347179,0.029193228
1608.5424520173992,3975,1.6309432,0.023391435
1609.5616839897975,5564,1.483375,0.03285678
1610.5804326388215,6059,1.4448326,0.035906035
1612.616479966747,6488,1.4118054,0.03874312
1613.6337786456484,4388,1.5798618,0.026311055
1614.6505940011753,6969,1.3771547,0.041960947
1615.6669260333283,6054,1.4362699,0.036620997
1616.6827747421069,4650,1.5488265,0.02826009
1617.6981401275114,4591,1.5522872,0.028035786
1619.7274209281973,6648,1.3864163,0.041075576
1620.7413363434791,5712,1.4498866,0.035490606
1621.7547684353865,4608,1.540716,0.028792802
1622.7677172039198,4260,1.572408,0.026766527
1623.7801826490788,7156,1.3447227,0.045214448
1624.7921647708636,6023,1.4171394,0.038270187
1625.803663569274,4266,1.5643824,0.027265755
1627.8252111959723,4898,1.4992329,0.031678684
1628.8352600242602,4855,1.5001341,0.03161301
1629.8448255291737,5518,1.4415907,0.03617507
1630.8539077107132,5944,1.4063224,0.03923536
1631.8625065688782,6301,1.3781328,0.041866552
1632.8706221036691,4572,1.5150024,0.03054904
1634.8854032031281,5107,1.4625915,0.0344674
1635.8920687677964,5336,1.4413524,0.03619492
1636.8982510090902,5923,1.3938173,0.04038152
1637.90394992701,7861,1.2686906,0.05386534
1638.9091655215555,6426,1.3540169,0.04425711
1639.9138977927266,3948,1.5633464,0.027330877
1641.9219123649464,3863,1.5679525,0.027042542
1642.925194665995,4080,1.5417566,0.0287239
1643.9279936436692,4670,1.4805208,0.03307342
1644.9303092979692,5415,1.4136356,0.03858019
1645.9321416288951,6582,1.3264498,0.047157444
1646.9334906364468,1698,1.9134612,0.012205027
1647.934356320624,3763,1.5664233,0.027137933
1649.934637718856,6882,1.300809,0.05002544
1650.9340534329106,3269,1.6221123,0.023871943
1651.932985823591,1686,1.9076223,0.012370226
1652.9314348908972,3580,1.5783799,0.026400985
1653.929400634829,6537,1.3146142,0.04846027
1654.926883055387,6685,1.3025734,0.04982262
1656.9203979263796,5842,1.3551886,0.04413787
1657.9164303768146,4988,1.4207648,0.03795205
1658.9119795038753,3555,1.5647277,0.027244093
1659.907045307562,4064,1.5028127,0.031418633
1660.901627787874,1882,1.8292252,0.014817498
1661.8957269448122,3501,1.550513,0.028150555
1663.8824752885655,5639,1.3218671,0.047657683
1664.875124475381,3636,1.5014013,0.03152091
1665.867290338822,4280,1.418065,0.038188715
1666.8589728788888,3972,1.4377673,0.03649494
1667.8501720955815,3546,1.4740773,0.033567782
1668.8408879888998,3117,1.5150805,0.03054355
1669.831120558844,3882,1.4044292,0.039406765
1671.8101357286098,3856,1.3735577,0.04230993
1672.7989183284312,3576,1.3876715,0.040957037
1673.7872176048784,5041,1.2200842,0.060244277
1674.7750335579512,6486,1.0911727,0.08106385
1675.76236618765,4764,1.2049681,0.062378064
1676.7492154939746,1530,1.6772132,0.021027459
1678.721464136501,2318,1.4516845,0.035343986
1679.7068634727027,1385,1.6511871,0.022326106
1680.6917794855303,2145,1.4379278,0.036481455
